Keyword,Z_Score,Recent_Avg_Freq,Historical_Avg_Freq,Total_Frequency,Is_Burst,Years_Active
DIGITAL ENTREPRENEURIAL INTENTION,50.76,9.0,0.03,19,True,3
WOMEN ENTREPRENEURSHIP,22.46,4.0,0.03,9,True,3
INTERNATIONALIZATION,22.46,4.0,0.03,9,True,3
ARTIFICIAL-INTELLIGENCE,13.97,2.5,0.03,6,True,3
DIGITAL ENTREPRENEURSHIP ECOSYSTEM,13.97,2.5,0.03,6,True,3
INTENTIONS,13.97,2.5,0.03,6,True,3
SELF-EFFICACY,12.91,8.5,0.19,23,True,5
HIGHER EDUCATION,11.95,3.0,0.06,8,True,4
ENTREPRENEURIAL INTENTION,11.58,5.0,0.13,14,True,5
METAVERSE,11.14,2.0,0.03,5,True,3
DIGITAL COMPETENCIES,11.14,2.0,0.03,5,True,3
TECHNOLOGY ENTREPRENEURSHIP,10.39,4.5,0.13,13,True,5
BUSINESS PERFORMANCE,10.01,4.0,0.1,11,True,4
SCOPUS,9.91,2.5,0.06,7,True,3
SUSTAINABLE ENTREPRENEURSHIP,9.91,2.5,0.06,7,True,4
TECHNOLOGY ADOPTION,9.91,2.5,0.06,7,True,3
CHOICE,9.91,2.5,0.06,7,True,4
PLANNED BEHAVIOR,9.91,2.5,0.06,7,True,4
MODERATING ROLE,9.91,2.5,0.06,7,True,4
ECOSYSTEMS,9.82,3.0,0.1,9,True,4
NETWORK,9.72,3.5,0.06,9,True,3
TECHNOLOGIES,9.54,8.5,0.32,27,True,6
BIBLIOMETRIC ANALYSIS,9.31,5.5,0.16,16,True,5
EXPERIENCES,8.31,1.5,0.03,4,True,3
BLOCKCHAIN TECHNOLOGY,8.31,1.5,0.03,4,True,3
PIVOTING,8.31,1.5,0.03,4,True,3
PERSONAL INNOVATIVENESS,8.31,1.5,0.03,4,True,3
DIGITAL ENTREPRENEURSHIP EDUCATION,8.31,1.5,0.03,4,True,2
QUALITATIVE RESEARCH,8.31,1.5,0.03,4,True,3
SPECIAL-ISSUE,8.31,1.5,0.03,4,True,2
KNOWLEDGE MANAGEMENT,8.31,1.5,0.03,4,True,3
FAMILY SUPPORT,8.31,1.5,0.03,4,True,3
INSIGHTS,8.31,1.5,0.03,4,True,3
SOCIAL ENTREPRENEURSHIP,8.07,4.5,0.19,15,True,6
TOURISM,7.88,2.0,0.06,6,True,4
GIG ECONOMY,7.88,2.0,0.06,6,True,3
BEHAVIOR,7.87,5.0,0.23,17,True,6
START,7.45,3.0,0.1,9,True,4
MARKET ORIENTATION,7.45,3.0,0.1,9,True,4
ARTIFICIAL INTELLIGENCE,7.3,6.0,0.23,19,True,5
DIGITAL PLATFORMS,7.3,6.0,0.23,19,True,5
VALUE CREATION,7.04,4.5,0.23,16,True,6
ACCEPTANCE,6.89,2.5,0.06,7,True,2
GENDER,6.75,11.0,0.61,41,True,9
DYNAMIC CAPABILITIES,6.61,7.5,0.42,28,True,8
DIGITAL LITERACY,6.49,3.5,0.16,12,True,4
INVESTMENT,6.44,2.0,0.1,7,True,5
GOVERNANCE,6.35,3.0,0.16,11,True,6
SMES,6.04,6.0,0.35,23,True,6
THEORY OF PLANNED BEHAVIOR,6.0,3.0,0.0,6,True,2
DIGITAL START-UP,5.84,1.5,0.06,5,True,4
LEADERSHIP,5.84,1.5,0.06,5,True,3
ENTREPRENEURIAL SELF-EFFICACY,5.84,1.5,0.06,5,True,4
DIGITAL START-UPS,5.84,1.5,0.06,5,True,4
ENTRY,5.84,1.5,0.06,5,True,4
MOTIVATION,5.84,1.5,0.06,5,True,3
VOSVIEWER,5.84,1.5,0.06,5,True,3
EMPLOYMENT,5.84,1.5,0.06,5,True,4
FEMALE ENTREPRENEURSHIP,5.74,4.0,0.23,15,True,6
DIGITAL ECONOMY,5.71,5.0,0.32,20,True,7
BRICOLAGE,5.64,2.5,0.13,9,True,5
PLS-SEM,5.64,2.5,0.13,9,True,5
COMPETITION,5.58,2.0,0.13,8,True,6
CO-CREATION,5.58,2.0,0.13,8,True,6
MODELS,5.56,8.0,0.42,29,True,6
TAXONOMY,5.48,1.0,0.03,3,True,3
DIGITAL CAPABILITY,5.48,1.0,0.03,3,True,2
