Doc_Index,Title,Dominant_Topic,Dominant_Prob,Topic_0_Prob,Topic_1_Prob,Topic_2_Prob,Topic_3_Prob,Topic_4_Prob,Topic_5_Prob,Topic_6_Prob,Topic_7_Prob,Topic_8_Prob,Topic_9_Prob
0,Analysis of the cluster effects on university spin-offs,5,0.5812,0.0018,0.0018,0.0018,0.4046,0.0018,0.5812,0.0018,0.0018,0.0018,0.0018
1,Characteristics of Japan's university spin-offs by industry,5,0.918,0.0634,0.0023,0.0023,0.0023,0.0023,0.918,0.0023,0.0023,0.0023,0.0023
2,National systems to create university spin-off venture businesses in Japan and Germany,5,0.9679,0.0036,0.0036,0.0036,0.0036,0.0036,0.9679,0.0036,0.0036,0.0036,0.0036
3,The performance of university spin-offs: an exploratory analysis using venture capital data,5,0.9873,0.0014,0.0014,0.0014,0.0014,0.0014,0.9873,0.0014,0.0014,0.0014,0.0014
4,Alternative growth patterns of university spin-offs: why so many remain small?,5,0.4158,0.2603,0.0009,0.0009,0.3173,0.0009,0.4158,0.0009,0.0009,0.0009,0.0009
5,University spin-offs vs. other NTBFs: Total factor productivity differences at outset and evolution,5,0.985,0.0017,0.0017,0.0017,0.0017,0.0017,0.985,0.0017,0.0017,0.0017,0.0017
6,Characteristics of University Spin-Offs in Chemistry and Their Business Relationships with Manufactu,5,0.9877,0.0014,0.0014,0.0014,0.0014,0.0014,0.9877,0.0014,0.0014,0.0014,0.0014
7,University spin-offs: Opportunity or challenge?,0,0.4819,0.4819,0.0063,0.0063,0.0063,0.0063,0.4681,0.0063,0.0063,0.0063,0.0063
8,Determinant factors of university spin-off: the case of Korea,5,0.8436,0.1487,0.001,0.001,0.001,0.001,0.8436,0.001,0.001,0.001,0.001
9,Capital structure determinants of university spin-offs,3,0.975,0.0028,0.0028,0.0028,0.975,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
10,The role of pre-formation intangible assets in the endowment of science-based university spin-offs,5,0.5852,0.2068,0.001,0.0167,0.001,0.001,0.5852,0.001,0.176,0.0103,0.001
11,The development of university spin-offs:: early dynamics of technology transfer and networking,5,0.9052,0.0014,0.0014,0.0834,0.0014,0.0014,0.9052,0.0014,0.0014,0.0014,0.0014
12,Endo- and exogenous conditions of entrepreneurial process of university spin-off companies in Poland,0,0.7272,0.7272,0.0017,0.0017,0.0017,0.0017,0.2594,0.0017,0.0017,0.0017,0.0017
13,Opening the ivory tower's door: An analysis of the determinants of the formation of US university sp,5,0.9735,0.0029,0.0029,0.0029,0.0029,0.0029,0.9735,0.0029,0.0029,0.0029,0.0029
14,"Voodoo Institution or Entrepreneurial University? Spin-off Companies, the Entrepreneurial System and",5,0.6896,0.2133,0.0016,0.0016,0.0862,0.0016,0.6896,0.0016,0.0016,0.0016,0.0016
15,Valuing of Economic Efficiency of University Spin-Offs: Case of Peter the Great St. Petersburg Polyt,5,0.7462,0.2374,0.002,0.002,0.002,0.002,0.7462,0.002,0.002,0.002,0.002
16,The Co-Opetition between University Spin-offs and General Enterprise - On the Framework of Triple He,0,0.6263,0.6263,0.0022,0.0022,0.0022,0.0022,0.3563,0.0022,0.0022,0.0022,0.0022
17,A university spin-off launch failure: explanation by the legitimation process,0,0.6851,0.6851,0.002,0.002,0.002,0.002,0.2992,0.002,0.002,0.002,0.002
18,Early-Stage Financing of University Spin-Offs: The Impact of Entrepreneurial Capabilities and Social,3,0.4911,0.3008,0.0015,0.0654,0.4911,0.0015,0.1339,0.0015,0.0015,0.0015,0.0015
19,Endowing university spin-offs pre-formation: Entrepreneurial capabilities for scientist-entrepreneur,5,0.9897,0.0011,0.0011,0.0011,0.0011,0.0011,0.9897,0.0011,0.0011,0.0011,0.0011
20,Imprinting and the progeny of university spin-offs,5,0.5812,0.0021,0.0021,0.0021,0.4021,0.0021,0.5812,0.0021,0.0021,0.0021,0.0021
21,"The effect of property rights and staff structure on the labor productivity, evidence of university ",5,0.8243,0.1657,0.0013,0.0013,0.0013,0.0013,0.8243,0.0013,0.0013,0.0013,0.0013
22,"The development, growth, and performance of university spin-offs: a critical review",5,0.4314,0.412,0.0013,0.0013,0.1476,0.0013,0.4314,0.0013,0.0013,0.0013,0.0013
23,Understanding academic entrepreneurship: Exploring the emergence of university spin-off ventures usi,0,0.5,0.5,0.0019,0.0019,0.0019,0.0019,0.4851,0.0019,0.0019,0.0019,0.0019
24,Young University Spin-off Firms' Internationalization: The Influence of Founding Teams and Networks,5,0.5422,0.0013,0.0013,0.247,0.0013,0.0013,0.5422,0.0013,0.0013,0.2019,0.0013
25,Social Networks and the Success of University Spin-offs: Toward an Agenda for Regional Growth,3,0.4044,0.2803,0.0023,0.031,0.4044,0.0023,0.2707,0.0023,0.0023,0.0023,0.0023
28,A study of the evolution pattern of chinese university-run enterprises-a corporate governance perspe,5,0.9616,0.0018,0.0018,0.0018,0.0244,0.0018,0.9616,0.0018,0.0018,0.0018,0.0018
29,"University spin-offs and the ""performance premium""",5,0.7871,0.0011,0.0011,0.0011,0.2045,0.0011,0.7871,0.0011,0.0011,0.0011,0.0011
33,Research on Mechanism of University Spin-off Value Creation Based on SEM Method,3,0.964,0.004,0.004,0.004,0.964,0.004,0.004,0.004,0.004,0.004,0.004
