Source,Target,Value,Jaccard,Overlap_Coef,Shared_Keywords,Period_Transition,Source_Keywords,Target_Keywords,Common_Keywords
Emergência_ACADEMIC ENTREPRENEURSHIP,Consolidação_ACADEMIC ENTREPRENEURSHIP,0.286,0.286,0.5,6,Emergência→Consolidação,"ACADEMIC ENTREPRENEURSHIP, KNOWLEDGE, TECHNOLOGY-TRANSFER, SCIENCE, COMMERCIALIZATION","ACADEMIC ENTREPRENEURSHIP, COMMERCIALIZATION, KNOWLEDGE TRANSFER, SCIENCE, SCIENTISTS","SCIENCE, COMMERCIALIZATION, ACADEMIC ENTREPRENEURSHIP, KNOWLEDGE TRANSFER, IMPACT"
Emergência_ACADEMIC ENTREPRENEURSHIP,Consolidação_INNOVATION,0.083,0.08,0.167,2,Emergência→Consolidação,"ACADEMIC ENTREPRENEURSHIP, KNOWLEDGE, TECHNOLOGY-TRANSFER, SCIENCE, COMMERCIALIZATION","INNOVATION, PERFORMANCE, ENTREPRENEURSHIP, INDUSTRY, NETWORKS","INDUSTRY, TECHNOLOGY"
Emergência_ACADEMIC ENTREPRENEURSHIP,Consolidação_TECHNOLOGY-TRANSFER,0.333,0.235,0.667,4,Emergência→Consolidação,"ACADEMIC ENTREPRENEURSHIP, KNOWLEDGE, TECHNOLOGY-TRANSFER, SCIENCE, COMMERCIALIZATION","TECHNOLOGY-TRANSFER, KNOWLEDGE, FIRMS, UNIVERSITY, HIGHER-EDUCATION","KNOWLEDGE, UNIVERSITY, UNIVERSITIES, TECHNOLOGY-TRANSFER"
Emergência_PERFORMANCE,Consolidação_ACADEMIC ENTREPRENEURSHIP,0.136,0.136,0.25,3,Emergência→Consolidação,"PERFORMANCE, INNOVATION, ENTREPRENEURSHIP, TECHNOLOGY TRANSFER, START-UPS","ACADEMIC ENTREPRENEURSHIP, COMMERCIALIZATION, KNOWLEDGE TRANSFER, SCIENCE, SCIENTISTS","TECHNOLOGY-TRANSFER OFFICES, TECHNOLOGY TRANSFER, CREATION"
Emergência_PERFORMANCE,Consolidação_INNOVATION,0.316,0.316,0.5,6,Emergência→Consolidação,"PERFORMANCE, INNOVATION, ENTREPRENEURSHIP, TECHNOLOGY TRANSFER, START-UPS","INNOVATION, PERFORMANCE, ENTREPRENEURSHIP, INDUSTRY, NETWORKS","NETWORKS, UNIVERSITY SPIN-OFF, PERFORMANCE, START-UPS, ENTREPRENEURSHIP"
Emergência_PERFORMANCE,Consolidação_TECHNOLOGY-TRANSFER,0.083,0.056,0.167,1,Emergência→Consolidação,"PERFORMANCE, INNOVATION, ENTREPRENEURSHIP, TECHNOLOGY TRANSFER, START-UPS","TECHNOLOGY-TRANSFER, KNOWLEDGE, FIRMS, UNIVERSITY, HIGHER-EDUCATION",FIRMS
Consolidação_ACADEMIC ENTREPRENEURSHIP,Fronteira_PERFORMANCE,0.227,0.227,0.417,5,Consolidação→Fronteira,"ACADEMIC ENTREPRENEURSHIP, COMMERCIALIZATION, KNOWLEDGE TRANSFER, SCIENCE, SCIENTISTS","PERFORMANCE, COMMERCIALIZATION, KNOWLEDGE, ENTREPRENEURSHIP, SCIENCE","MODEL, SCIENCE, TECHNOLOGY TRANSFER, COMMERCIALIZATION, CREATION"
Consolidação_ACADEMIC ENTREPRENEURSHIP,Fronteira_ACADEMIC ENTREPRENEURSHIP,0.182,0.182,0.333,4,Consolidação→Fronteira,"ACADEMIC ENTREPRENEURSHIP, COMMERCIALIZATION, KNOWLEDGE TRANSFER, SCIENCE, SCIENTISTS","ACADEMIC ENTREPRENEURSHIP, INNOVATION, TECHNOLOGY-TRANSFER, IMPACT, UNIVERSITY","SCIENTISTS, KNOWLEDGE TRANSFER, IMPACT, ACADEMIC ENTREPRENEURSHIP"
Consolidação_INNOVATION,Fronteira_PERFORMANCE,0.227,0.227,0.417,5,Consolidação→Fronteira,"INNOVATION, PERFORMANCE, ENTREPRENEURSHIP, INDUSTRY, NETWORKS","PERFORMANCE, COMMERCIALIZATION, KNOWLEDGE, ENTREPRENEURSHIP, SCIENCE","NETWORKS, INDUSTRY, PERFORMANCE, START-UPS, ENTREPRENEURSHIP"
Consolidação_INNOVATION,Fronteira_ACADEMIC ENTREPRENEURSHIP,0.13,0.13,0.25,3,Consolidação→Fronteira,"INNOVATION, PERFORMANCE, ENTREPRENEURSHIP, INDUSTRY, NETWORKS","ACADEMIC ENTREPRENEURSHIP, INNOVATION, TECHNOLOGY-TRANSFER, IMPACT, UNIVERSITY","DETERMINANTS, INNOVATION, TECHNOLOGY"
Consolidação_TECHNOLOGY-TRANSFER,Fronteira_PERFORMANCE,0.167,0.105,0.333,2,Consolidação→Fronteira,"TECHNOLOGY-TRANSFER, KNOWLEDGE, FIRMS, UNIVERSITY, HIGHER-EDUCATION","PERFORMANCE, COMMERCIALIZATION, KNOWLEDGE, ENTREPRENEURSHIP, SCIENCE","KNOWLEDGE, FIRMS"
Consolidação_TECHNOLOGY-TRANSFER,Fronteira_ACADEMIC ENTREPRENEURSHIP,0.25,0.176,0.5,3,Consolidação→Fronteira,"TECHNOLOGY-TRANSFER, KNOWLEDGE, FIRMS, UNIVERSITY, HIGHER-EDUCATION","ACADEMIC ENTREPRENEURSHIP, INNOVATION, TECHNOLOGY-TRANSFER, IMPACT, UNIVERSITY","UNIVERSITY, UNIVERSITIES, TECHNOLOGY-TRANSFER"
